addr,geo,name
北京市东城区景山前街4号,"116.403347,39.922148",故宫
北京市海淀区清华西路28号,"116.314607,40.01629",圆明园
陕西省西安市临潼县秦始皇陵东1.5公里处,"109.266029,34.386024",秦始皇陵博物院（兵马俑）
海南省三亚市林旺镇海棠湾蜈支洲岛,"109.770938,18.319925",蜈支洲岛
海南省三亚市崖城镇南山村,"109.208867,18.296388",南山文化旅游区
四川省成都市成华区外北熊猫大道1375号,"104.152603,30.738951",成都熊猫基地
广东省广州市番禺区迎宾路长隆旅游度假村旁,"113.335765,23.0003",长隆野生动物世界
海南省三亚市吉阳镇亚龙湾国际旅游度假区,"109.659829,18.25797",亚龙湾热带天堂森林公园
山西省晋中市平遥县,"112.190081,37.21041",平遥古城
湖南省张家界市永定区天门山索道站,"110.482089,29.072408",天门山国家森林公园
海南省三亚市沿海滨西行26公里天涯镇马岭山麓,"109.36116,18.298477",天涯海角
江苏省苏州市平江区东北街178号,"120.635191,31.330583",拙政园
上海市浦东新区南汇县三灶镇南六公路178号,"121.728112,31.059636",上海野生动物园
福建省厦门市思明区鼓浪屿,"118.073486,24.452261",鼓浪屿
四川省甘孜藏族自治州稻城县,"100.324691,28.540034",稻城亚丁
