景点名字,经纬度,地址,已售票数
故宫,"116.403347,39.922148",北京市东城区景山前街4号,16091
圆明园,"116.314607,40.01629",北京市海淀区清华西路28号,6629
秦始皇陵博物院（兵马俑）,"109.266029,34.386024",陕西省西安市临潼县秦始皇陵东1.5公里处,8677
蜈支洲岛,"109.770938,18.319925",海南省三亚市林旺镇海棠湾蜈支洲岛,4208
南山文化旅游区,"109.208867,18.296388",海南省三亚市崖城镇南山村,5324
成都熊猫基地,"104.152603,30.738951",四川省成都市成华区外北熊猫大道1375号,29372
长隆野生动物世界,"113.335765,23.0003",广东省广州市番禺区迎宾路长隆旅游度假村旁,3612
亚龙湾热带天堂森林公园,"109.659829,18.25797",海南省三亚市吉阳镇亚龙湾国际旅游度假区,4688
平遥古城,"112.190081,37.21041",山西省晋中市平遥县,6227
天门山国家森林公园,"110.482089,29.072408",湖南省张家界市永定区天门山索道站,2964
天涯海角,"109.36116,18.298477",海南省三亚市沿海滨西行26公里天涯镇马岭山麓,6045
拙政园,"120.635191,31.330583",江苏省苏州市平江区东北街178号,2679
上海野生动物园,"121.728112,31.059636",上海市浦东新区南汇县三灶镇南六公路178号,3573
鼓浪屿,"118.073486,24.452261",福建省厦门市思明区鼓浪屿,3201
稻城亚丁,"100.324691,28.540034",四川省甘孜藏族自治州稻城县,3410
峨眉山,"103.342036,29.522835",四川省乐山峨眉山市峨眉山风景名胜区,6740
北京野生动物园,"116.342645,39.50183",北京市大兴区一零六国道,2508
陕西历史博物馆,"108.961746,34.230944",陕西省西安市雁塔区小寨东路91号,3096
都江堰,"103.620123,31.006855",四川省成都市都江堰市,3048
珠海长隆海洋王国,"113.544272,22.104641",广东省珠海市横琴新区富祥湾,4053
上海迪士尼乐园,"121.667917,31.149712",上海市浦东新区川沙新镇上海迪士尼度假区内,6019
黄山风景区,"118.193977,30.097967",安徽省黄山市黄山区黄山风景区,2943
长隆欢乐世界,"113.33789,23.005235",广东省广州市番禺区长隆旅游度假区内,2091
鼓浪屿往返轮渡,"118.079267,24.461298",福建省厦门市思明区鹭江道（近中山路）,3697
大连森林动物园,"121.618712,38.887983",大连市西岗区迎春路60号 圈养区入(出)口，大连市西岗区滨海西路79号 散养区入(出)口,3426
宏村,"117.995474,30.010385",安徽省黄山市黟县宏村镇宏村里,3455
