景点名字,经纬度,地址,已售票数
日照海滨国家森林公园,"119.633081,35.548016",山东省日照市东港区北沿海路北首,94
万平口海滨风景区,"119.568811,35.413666",山东省日照市东港区海曲东路398号,80
日照九仙山,"119.354904,35.693257",山东省日照市五莲县文化路东首,46
五莲山,"119.408896,35.692217",山东省日照市五莲县文化路东首,32
竹洞天,"119.382413,35.423126",山东省日照市东港区海曲西路西将帅沟毛竹园,22
浮来山,"118.745159,35.606198",山东省日照市莒县浮来山镇,50
日照旅游一票通,"119.565119,35.407859",山东省日照市东港区日照世帆赛基地,51
日照旅游出海观光捕鱼,"119.624958,35.527783",山东省日照市山海天旅游度假区吴家台清馨渔家,46
日照桃花岛风情园,"119.614906,35.480116",山东省日照市东港区桃花岛村,46
海战馆,"119.569756,35.414102",山东省日照市东港区,63
日照世帆赛基地,"119.5667,35.40399",山东省日照市东港区绿洲南路世帆赛基地,81
奇趣海洋世界,"119.570639,35.414172",山东省日照市万平口海水浴场泊烟广场南,78
刘家湾赶海园,"119.434612,35.28905",山东省日照市东港区刘家湾赶海园,36
日照海洋公园,"119.613964,35.486225",山东省日照市东港区碧海路185号（万平口四号门路西）,114
大青山风景区,"119.211946,35.672836",山东省日照市五莲县洪凝镇南7公里,2
万宝滨海风景区,"119.649704,35.580002",山东省日照市东港区两城镇山海天旅游渡假区,72
五莲山-九仙山索道,"119.385267,35.694564",山东省日照市五莲县五莲山风景区胡林村,2
日出东方海之秀,"119.561542,35.428928",山东省日照市东港区青岛路太阳广场内,79
丽正园,"118.822922,35.611847",山东省日照市莒县南郊206国道与335省道交汇处,4
Hi世界农乐园,"119.583084,35.546267",山东省日照市东港区两城街道秦家庄,34
花仙子风景区,"119.240999,35.475126",山东省日照市东港区西湖镇北乐台村,88
日照浮来青滑雪场,"118.668638,35.397745",山东省日照莒县夏庄镇南3公里处,70
浮来青旅游度假区,"118.668638,35.397745",山东省日照市莒县夏庄镇南3公里处,36
日照顺风阳光海洋牧场,"119.339158,35.176467",山东省日照市岚山区虎山镇,53
龙门崮,"119.1377,35.552196",山东省日照市东港区三庄镇龙门崮山,4
山河四季风景区,"119.301231,35.3915",山东省日照市东港区后村镇山河机场航空大楼409室,88
沁园春风景区,"119.497488,35.516811",山东省日照市东港区河山镇费家官庄西500米（日照市区临沂路最北头向西直行2.5公里）,35
双龙峡,"119.362354,35.715564",山东省日照五莲县户部乡上沟村龙潭湖水库大坝处,57
锐翔通航,"119.459834,35.432381",山东省日照市东港区涛雒镇蓝色大道与滨海二路交汇处。,43
天乐谷风景区,"119.516958,35.530868",山东省日照市东港区河山镇费家官庄西500米（市区临沂路最北头向西直行2.5公里）,58
日照水上公园,"119.56089,35.428155",山东省日照市东港区海曲东路398号,0
日照任家台出海观光捕渔,"119.631863,35.511876",山东省日照市山海天旅游度假区任家台渔港码头游船,0
日照泉山云顶风景区,"119.474929,35.527791",山东省日照市东港区河山镇泉山云顶风景区,0
日照河山风景区,"119.477784,35.533803",山东省日照市东港区河山镇,0
日照和谐大舞台,"119.548725,35.408947",山东省日照市石臼黄海三路与海滨三路交汇处中华美食一条街（关家大院院内）,0
日照东方3D魔幻艺术乐园,"119.441619,35.417897",山东省日照市迎宾路1号（红星美凯龙西50米）,0
五莲山滑雪场,"119.402005,35.709223",山东省日照市五莲县兰陵路（334省道南）,0
日照欣慧休闲渔乐园景区,"119.639796,35.570674",日照市北海路安家村，日照海滨国家森林公园西门北3公里,0
太公岛风景区,"119.589679,35.445239",山东省日照市东港区山海天旅游度假区,0
七巧板欢乐园,"119.384461,35.422008",山东省日照市东港区海曲西路西端竹洞天风景区南邻对过,0
丁肇中故居,"119.386635,35.284461",山东省日照市东港区涛雒镇驻地仿古街中段路南,0
欣彗渔乐园,"119.639531,35.570564",山东省日照市东港区国家森林公园北安家村大桥东1000米,0
第三海水浴场,"119.589454,35.460788",山东省日照东港区碧海路,0
向日贝壳博物馆,"119.571162,35.419284",山东省日照市海曲东路和碧海路的交汇口万平口风景区南行100米,0
日照梦幻海滩公园—临涛浴场,"119.577242,35.430457",山东省日照市东港区碧海路中段（临涛海水浴场）,0
吴家台海水浴场,"119.585457,35.453496",山东省日照市东港区,0
魏园,"119.569653,35.448072",山东省日照市东港区山海天度假区太公岛一路13号,0
灯塔风景区,"119.563779,35.388731",山东日照市黄海一路东首,0
日照抗日战争纪念馆,"119.586059,35.456376",山东省日照市山海天旅游度假区碧海路（岚桥锦江酒店北300米）,0
金诺蜡像馆+冰雪奇缘,"119.551995,35.414447",山东省日照市东港区海曲东路凯德广场负一楼,0
任家台村,"119.632436,35.514903",山东省日照市东港区任家台村（汽车站北100米日照影剧院乘日照北沿海路旅游专车30分钟、火车站乘车30分钟至任家台）,0
日照蓝宝湾欢乐世界,"119.563033,35.429582",山东省日照市碧海路奥林匹克水上公园,0
黑虎山狩猎场,"119.146216,35.656132",山东省日照市五莲县石场乡加油站南1.5公里,0
山海天魔幻城,"119.57825,35.462106",山东省日照市碧海路与太公岛三路交汇处路东,0
日照金沙滩,"119.581859,35.437526",山东省日照市东港区万平口海滨生态区,0
艺安沙沙文化旅游体验馆,"119.55853,35.439066",山东省日照市青岛路日照游泳馆内,0
五蔬园风景区,"119.437813,35.687231",山东省日照市五莲县叩官镇五莲山游客服务中心东临,0
杏石温泉度假村,"119.070279,35.896591",山东省日照市五莲县206国道401公里处,0
沁园春滑雪（草）场,"119.494391,35.514387",山东省日照市东港区河山镇费家官庄西500米（日照市区临沂路最北头向西直行2.5公里）,0
李崮寨风景区,"119.183388,35.590966",山东省日照市五莲县街头镇,0
黄海九寨沟,"119.325355,35.238417",山东省日照市岚山区虎山镇黄海九寨沟景区,0
御海湾生态观光茶园,"119.629887,35.522305",山东省日照市东港区碧海路北首日照海滨森林公园南500米,0
日照游泳中心欢乐水世界,"119.552846,35.416279",日照奥林匹克水上公园内,0
圣安3D错觉艺术全国巡展（日照站）,"119.54669,35.452115",山东省日照市大学城滨州路曲阜师范大学北门对面（日照创意产业园）,0
李家台赶海园,"119.616111,35.485123",山东省日照市东港区碧海路,0
日照港,"119.534171,35.378602",山东日照东港区,0
日照海豹野战训练营,"119.503824,35.407063",山东省日照市东港区大连路,0
逃堡密室,"119.522283,35.391544",山东省日照市开发区德赛国际公寓院内3号楼东单元301室,0
九仙山漂流,"119.33684,35.686244",山东省日照市五莲县九仙山风景区内,0
日照地下冰宫,"119.586328,35.458605",山东省日照市东港区碧海路与太公三路交汇处,0
太公岛休闲海钓,"119.564324,35.408159",山东省日照市东港区绿洲南路蓝海国际大饭店A座,0
日照植物园,"119.558049,35.417134",山东省日照市,0
驻龙山,"119.599771,35.512726",山东省日照市东港区两城镇青岛路中段,0
任家台礁石公园,"119.636301,35.515106",山东省日照市东港区碧海路,0
龙门崮风景区水上乐园,"119.137702,35.552197",山东省日照市东港区三庄镇北6公里,0
日照磴山寨景区,"119.31427,35.187278",山东省日照市岚山区磴山寨,0
任家台海水浴场,"119.63194644644,35.526095580779",0633-8785910,0
太公岛游乐园,"119.589679,35.445239",山东省日照市东港区,0
日照文山茶博园,"119.416367,35.437382",山东省日照市东港区山东路西首（时代加气站东300米）,0
王家皂渔家乐,"119.58894,35.461029",山东省日照市东港区碧海路,0
蓝海湾星空错觉博览艺术馆,"119.546633,35.452551",山东省日照市东港区大学城四季花园,0
七连山,"119.26735,35.692405",山东省日照市五莲县鸿林镇闫家南山村,0
山东蓝海1号露营公园,"119.61785,35.49617",山东省日照市东港区碧海路与桃花岛三路交会处向北200米路东,0
水知日照,"119.558158,35.439118",山东省日照市山东路与青岛路交汇处奥林匹克水上运动公园北侧,0
任家台国防教育基地619军舰,"119.635079,35.513353",山东省日照市任家台旅游度假村村口东南,0
