景点名字	经纬度	地址	已售票数
龙脊梯田	"110.078836,25.731802"	广西壮族自治区桂林市龙胜县东南部和平乡境内	2331
印象刘三姐	"110.512947,24.771489"	广西壮族自治区桂林市阳朔县田园路1号	1070
银子岩	"110.446061,24.647843"	广西壮族自治区桂林市荔浦县马岭镇小青山银子岩景区	992
阳朔十里画廊	"110.476723,24.725351"	广西省桂林市阳朔县月亮山	854
芦笛岩	"110.279143,25.316464"	广西壮族自治区桂林市秀峰区芦笛路1号	634
桂林两江四湖景区	"110.298547,25.257801"	广西壮族自治区桂林市秀峰区滨江路12号	620
漓江	"110.438282,25.153169"	广西壮族自治区桂林市阳朔县	572
象鼻山	"110.302339,25.274549"	广西壮族自治区桂林市民主路52号	546
杨堤烟雨	"110.459593,24.999835"	广西桂林阳朔县杨堤乡	492
象山公园	"110.302339,25.274547"	广西壮族自治区桂林市秀峰区滨江路1号	406
独秀峰王城景区	"110.305678,25.289462"	广西壮族自治区桂林市秀峰区王城路1号	348
漓江三星级游船	"110.438282,25.153169"	广西壮族自治区桂林市灵川县	332
阳朔世外桃源景区	"110.399611,24.868427"	广西壮族自治区桂林市阳朔县白沙镇五里店桂阳公路	326
桂林千古情景区	"110.475312,24.774335"	阳朔桂林千古情大道	302
遇龙河	"110.45795,24.757044"	广西省桂林市阳朔县遇龙河景区	212
玉圭园环球名胜凯旋王国主题乐园	"110.323367,25.150242"	广西桂林雁山区良丰路（环城高速公路口）	180
漓江四星级游船	"110.438282,25.153169"	广西壮族自治区桂林市灵川县	146
两江四湖游船	"110.303481,25.285316"	广西桂林象山区两江四湖日月湾码头	128
玉圭园环球名胜梦幻水上乐园	"110.324495,25.150095"	广西桂林雁山区良丰路（环城高速公路口）	116
燕莎热气球滑翔伞飞行	"110.501381,24.787955"	广西省桂林市阳朔县山水大道燕莎热气球滑翔伞基地	110
杨堤码头	"110.460853,24.998611"	广西省桂林市阳朔县广西桂林市阳朔县杨堤码头	102
七星景区	"110.319121,25.278778"	广西壮族自治区桂林市七星区龙隐路1号	96
古东瀑布	"110.614493,25.165877"	广西省桂林市灵川县大圩镇漓江古东景区	96
桂林尧山景区	"110.376112,25.298585"	广西壮族自治区桂林市叠彩区尧山路	96
金龙桥	"110.399925,24.822487"	广西省桂林市阳朔县白沙镇	92
桂林海啦啦城市乐园	"110.338931,25.410261"	桂林市灵川县灵钢路1号灵川希宇城	91
桂林度假村ClubMed	"110.341338,25.05019"	广西省桂林市雁山区大埠乡愚自乐园	91
乾龙天坑	"110.144183,24.997945"	广西省桂林市永福县罗锦镇金钟山旅游度假区	88
侗情水庄景区	"110.298072,25.149837"	广西壮族自治区桂林市象山区象塘路331号	88
龙颈河漂流	"110.591768,24.956042"	广西省桂林市阳朔县大源林场	86
金水岩	"110.488373,24.727404"	广西省桂林市阳朔县历村后山	85
鲁家村	"110.27974,25.30181"	桂林市秀峰区桃花江中段	82
CS野战营	"110.319297,25.278148"	广西省桂林市七星区七星路1号七星公园内	81
天门山全程索道	"110.692929,26.142402"	广西省桂林市资源县天门山景区	78
七星景区攀岩	"110.319297,25.278148"	广西省桂林市七星区七星路1号	77
阳朔西街	"110.500292,24.779377"	广西省桂林市阳朔县西街步行街	76
十里竹海大峡谷	"110.479386,25.859756"	广西桂林市兴安县超然派景区	76
金水岩	"110.488373,24.727404"	广西省桂林市阳朔县历村后山	76
罗山湖景区	"110.066785,25.246249"	广西省桂林市临桂区罗山水库旁罗山湖景区	75
遇龙河漂流金龙桥码头	"110.399902,24.823208"	广西壮族自治区桂林市阳朔县白沙镇金龙桥码头	74
漓江【风光号】四星高端游船	"110.439814,25.133035"	广西壮族自治区桂林市灵川县竹江码头	74
杨堤	"110.461475,24.998655"	广西壮族自治区桂林市阳朔县杨堤乡	72
怨灵屋	"110.294749,25.226238"	广西壮族自治区桂林市象山区万福广场4号楼	72
叠彩山	"110.30751,25.296191"	广西壮族自治区桂林市龙珠路2号叠彩山	70
大地部落户外攀岩基地	"110.49557,24.739341"	广西壮族自治区桂林市阳朔县G321(十里画廊)	70
正阳步行街	"110.305022,25.284212"	广西省桂林市秀峰区正阳步行街（南起杉湖北路，北至解放东路）。	70
一江四湖	"110.309735,25.281765"	广西省桂林市七星区解放桥东南端桥底，该处有六匹铜马为标识	68
桂林直升机空中游览	"110.279844,25.310246"	广西省桂林市秀峰区芦笛路（芦笛岩景区停车场旁）	68
阳朔大榕树	"110.493384,24.737716"	广西壮族自治区桂林市阳朔县穿岩村大榕树景区	66
西山石窟	"110.284756,25.289544"	广西省桂林市秀峰区桃花江路6号	65
资源丹霞游船	"110.655369,25.986945"	广西省桂林市资源县中峰乡车田湾村	62
金钟山高尔夫球场	"110.145095,24.995667"	广西壮族自治区桂林市永福县罗锦镇金钟山景区	61
七仙峰茶场	"110.500286,24.854346"	广西桂林市阳朔县白沙镇蕉芭林村	60
桂林锦龙国际赛车场	"110.476226,24.662531"	桂林市荔浦县马岭镇地狮村口锦龙国际赛车场（阳朔高田高速出口往荔浦方向8公里）	59
阳朔	"110.502714,24.784504"	广西壮族自治区桂林市阳朔县	56
《漓水古越》山水实景演出	"110.495104,24.73957"	广西壮族自治区桂林市阳朔县G65(包茂高速公路)	56
相公山	"110.524325,24.921721"	桂林市阳朔县兴坪镇境内的漓江西岸，在黄布滩和九马画山两景点之间	54
资江	"110.669604,26.064271"	广西省桂林市资源县境内	54
阳朔天籁蝴蝶泉	"110.503441,24.74615"	广西壮族自治区桂林市阳朔县321国道	52
天门山全程索道	"110.692929,26.142402"	广西省桂林市资源县天门山景区	51
