景点名字,经纬度,地址,已售票数
龙脊梯田,"110.078836,25.731802",广西壮族自治区桂林市龙胜县东南部和平乡境内,1884
漓江,"110.438282,25.153169",广西壮族自治区桂林市阳朔县,536
银子岩,"110.446061,24.647843",广西壮族自治区桂林市荔浦县马岭镇小青山银子岩景区,804
桂林两江四湖景区,"110.298547,25.257801",广西壮族自治区桂林市秀峰区滨江路12号,484
印象刘三姐,"110.512947,24.771489",广西壮族自治区桂林市阳朔县田园路1号,892
阳朔十里画廊,"110.476723,24.725351",广西省桂林市阳朔县月亮山,644
杨堤烟雨,"110.459593,24.999835",广西桂林阳朔县杨堤乡,432
芦笛岩,"110.279143,25.316464",广西壮族自治区桂林市秀峰区芦笛路1号,472
象鼻山,"110.302339,25.274549",广西壮族自治区桂林市民主路52号,386
象山公园,"110.302339,25.274547",广西壮族自治区桂林市秀峰区滨江路1号,344
阳朔世外桃源景区,"110.399611,24.868427",广西壮族自治区桂林市阳朔县白沙镇五里店桂阳公路,274
独秀峰王城景区,"110.305678,25.289462",广西壮族自治区桂林市秀峰区王城路1号,284
漓江三星级游船,"110.438282,25.153169",广西壮族自治区桂林市灵川县,296
遇龙河,"110.45795,24.757044",广西省桂林市阳朔县遇龙河景区,168
桂林千古情景区,"110.475312,24.774335",阳朔桂林千古情大道,266
燕莎热气球滑翔伞飞行,"110.501381,24.787955",广西省桂林市阳朔县山水大道燕莎热气球滑翔伞基地,106
叠彩伏波景区,"110.310388,25.289642",广西壮族自治区桂林市叠彩区滨江路27号,44
遇龙河漂流金龙桥码头,"110.399902,24.823208",广西壮族自治区桂林市阳朔县白沙镇金龙桥码头,62
七星景区,"110.319121,25.278778",广西壮族自治区桂林市七星区龙隐路1号,72
漓江【风光号】四星高端游船,"110.439814,25.133035",广西壮族自治区桂林市灵川县竹江码头,74
漓江四星级游船,"110.438282,25.153169",广西壮族自治区桂林市灵川县,94
古东瀑布,"110.614493,25.165877",广西省桂林市灵川县大圩镇漓江古东景区,84
桂林市区水上游,"110.297086,25.258651",广西壮族自治区桂林市象山区龙船坪路龙船坪码头,44
杨堤码头,"110.460853,24.998611",广西省桂林市阳朔县广西桂林市阳朔县杨堤码头,88
两江四湖游船,"110.303481,25.285316",广西桂林象山区两江四湖日月湾码头,82
金龙桥,"110.399925,24.822487",广西省桂林市阳朔县白沙镇,64
相公山,"110.524325,24.921721",桂林市阳朔县兴坪镇境内的漓江西岸，在黄布滩和九马画山两景点之间,42
杨堤,"110.461475,24.998655",广西壮族自治区桂林市阳朔县杨堤乡,64
一江四湖,"110.309735,25.281765",广西省桂林市七星区解放桥东南端桥底，该处有六匹铜马为标识,64
兴坪渔村,"110.52807,24.923515",广西壮族自治区桂林市阳朔县兴坪码头,36
阳朔大榕树,"110.493384,24.737716",广西壮族自治区桂林市阳朔县穿岩村大榕树景区,32
桂林尧山景区,"110.376112,25.298585",广西壮族自治区桂林市叠彩区尧山路,74
漓江竹筏精华游-杨堤段,"110.500806,24.784018",兴坪上船地址：广西桂林市阳朔县兴坪镇漓江竹筏码头（朝板山码头）。 杨堤上船地址：广西桂林市阳朔县葡萄镇杨堤码头。,38
九马画山,"110.502396,24.941774",广西省桂林市阳朔县兴坪镇,4
桂林西山景区,"110.281681,25.288681",广西省桂林市秀峰区西山路2号,38
桂林七星景区七星岩,"110.317862,25.280829",广西壮族自治区桂林市七星区七星路1号七星公园内,32
新梦幻漓江,"110.330446,25.263189",广西桂林市七星区七星路95号梦幻剧场,18
龙颈河漂流,"110.591768,24.956042",广西省桂林市阳朔县大源林场,74
叠彩山,"110.30751,25.296191",广西壮族自治区桂林市龙珠路2号叠彩山,56
桂林訾洲岛景区,"110.309966,25.275364",广西省桂林市中心漓江上（解放桥至龙隐桥方向右侧）,14
冠岩地下河景区,"110.463631,25.055181",广西壮族自治区桂林市雁山区草坪回族自治乡,10
灵渠,"110.690678,25.604685",广西省桂林市兴安县双灵路灵渠公园内,16
丰鱼岩旅游度假区,"110.354113,24.398953",广西壮族自治区桂林市荔浦县龙怀乡东里村,26
漓江【盛景号】游轮,"110.438282,25.153169",上船码头：磨盘山码头：广西省桂林市漓江景区磨盘山码头2号泊位。 下船码头：水东门码头：广西省桂林市阳朔西街。,20
七星景区攀岩,"110.319297,25.278148",广西省桂林市七星区七星路1号,95
阳朔,"110.502714,24.784504",广西壮族自治区桂林市阳朔县,44
阳朔聚龙潭,"110.489468,24.730939",广西省桂林市阳朔县南桂荔公路,14
阳朔天籁蝴蝶泉,"110.503441,24.74615",广西壮族自治区桂林市阳朔县321国道,24
