景点名字,经纬度,地址,已售票数
连云港花果山,"119.278096,34.648745",江苏省连云港市新浦区郁林路5号,130
连岛,"119.458608,34.775286",江苏省连云港市连云区连岛镇连岛街道,48
渔湾,"119.343546,34.645979",江苏省连云港市连云区云台乡渔湾村,48
海上云台山,"119.475801,34.733219",江苏省连云港市连云区境内,26
大伊山,"119.243961,34.323418",江苏省连云港市灌云县伊山镇陵园路,96
孔望山,"119.183995,34.572186",江苏省连云港市海州沿河路198号,4
云龙涧,"119.35957,34.673681",江苏省连云港市新浦区开发区南侧金苏村,2
连云港云台山,"119.244469,34.59998",江苏省连云港市连云区东北30多公里处,77
海州湾海洋公园,"119.247962,34.946377",江苏省连云港市赣榆区海头镇海州湾旅游度假区,59
潮河湾生态园,"119.46714567794,34.293870279215",江苏省连云港市灌云县,10
桃花涧,"119.14904,34.546493",江苏省连云港市海州区锦屏镇桃花村桃花涧风景区,88
连云港东海森林温泉,"118.579007,34.674713",江苏省连云港市东海县李埝生态旅游度假区,2
东海颐家露天温泉,"118.685571,34.609215",江苏省连云港市东海县泳馆路3号,4
福如东海温泉大酒店小松原温泉,"118.684667,34.614398",江苏省连云港市东海县温泉旅游度假区汤姑路6号（近温泉路）,46
青松岭森林公园,"118.57181,34.696954",江苏省连云港市东海县李埝乡李埝林场境内,42
伊甸园,"119.322029,34.316955",江苏省连云港市灌云县伊山镇川星村五组,85
星期8小镇（连云港嘉瑞宝店）,"119.374659,34.744081",连云港市中山西路111号嘉瑞宝广场3楼星期8小镇,2
东海森林温泉,"118.573677,34.692471",江苏省连云港市东海县李埝生态旅游度假区,98
连云港老街,"119.462119,34.735961",江苏省连云港连云区胜利路115号,2
二郎神文化遗迹公园,"119.333924,34.131565",江苏省连云港市灌南县城北1公里五龙口旅游度假区内,88
兆隆林海湾,"119.217731,34.550907",江苏省连云港市海州区迎宾大道88号,39
林海湾丛林乐园,"119.216944,34.550483",江苏省连云港市海州区迎宾大道88号（迎宾大道昊海大厦东北170米）,2
连云港在水一方,"119.172748,34.612287",江苏省连云港海州区盐河北路191号,99
保驾山,"119.435742,34.706984",江苏省连云港市连云区,0
宿城风景区,"119.45497,34.699572",江苏省连云港市连云区,0
