景点名字,经纬度,地址,已售票数
青岛啤酒博物馆,"120.35324,36.085299",山东省青岛市市北区登州路56号青岛啤酒厂内,700
崂山,"120.601677,36.195942",山东省青岛市崂山区内,506
青岛海昌极地海洋世界,"120.449481,36.07508",山东省青岛市崂山区东海东路60号,2219
海军博物馆,"120.335671,36.060933",山东省青岛市市南区莱阳路8号,648
青岛海底世界,"120.342061,36.062757",山东省青岛市市南区莱阳路2号,1056
崂山太清景区,"120.669628,36.140499",山东省青岛市崂山区崂山景区内东南部,456
八大关,"120.357133,36.05803",山东省青岛市市南区正阳关路14号,330
青岛海上观光,"120.315114,36.058418",青岛市南区西陵峡路9号小港海事处内友谊码头,210
青岛德国监狱旧址博物馆,"120.335185,36.067216",山东省青岛市市南区常州路23号,158
栈桥,"120.326563,36.065428",山东省青岛市市南区太平路14号,166
信号山公园,"120.338223,36.072829",山东省青岛市市南区齐东路17号,138
仰口游览区,"120.672997,36.242339",山东省青岛市崂山区仰口风景游览区,60
仰口湾,"120.658589,36.274185",山东省青岛市崂山区崂山景区旅游专用路,80
奥帆博物馆,"120.400972,36.059416",山东省青岛市市南区新会路1号（近东海路）,6
中国水准零点景区,"120.429996,36.062705",山东省青岛市市南区东海中路30号银海大世界,28
青岛方特梦幻王国,"120.290165,36.215056",山东省青岛市城阳区红岛街道岙东南路华南文化产业基地内,428
青岛葡萄酒博物馆,"120.354234,36.078887",山东省青岛市市北区延安一路68号,22
胶州湾大桥,"120.375807,36.161527",山东省青岛市李沧区胶州湾大桥,28
八水河,"120.675816,36.244377",山东省青岛市崂山区Z004,10
青岛太平山,"120.364987,36.072275",山东省青岛市市南区,4
北九水游览区,"120.60437,36.217302",山东省青岛市崂山区崂山风景区内,154
青岛森林野生动物世界,"120.066014,35.988067",山东省青岛市黄岛区小珠山风景区,394
青岛金沙滩景区,"120.252869,35.965068",山东省青岛市黄岛区漓江路金沙滩景区,6
奥帆中心,"120.404275,36.063909",山东省青岛市市南区金湾路6号,26
琴岛之眼摩天轮,"120.172762,35.935979",青岛市西海岸新区漓江西路1160号唐岛湾公园西侧,170
奥林匹克帆船中心,"120.404173,36.064082",山东省青岛市燕儿岛路1号奥帆中心1号门码头,4
青岛乘风破浪帆船俱乐部,"120.40287,36.06252",山东省青岛市市南区新会路12号中航翔通游艇会酒店,96
奥帆中心游艇,"120.400745,36.06409",山东省青岛市市南区普宁路奥帆中心,85
流清河,"120.622386,36.130755",山东省青岛市沙子口流清河村流清河景区,4
五四广场,"120.39136901118,36.06853456781",山东省青岛市市南区澳门路9号,54
流清游览区,"120.618054,36.129024",山东省青岛市崂山区梅岭路30号崂山景区,16
青岛啤酒济南梦工厂,"117.336175,36.689437",山东省济南市高新区大正路3000号,99
唐岛湾滨海公园,"120.216076,35.954632",山东省青岛市黄岛区S293(漓江西路),69
小鱼山公园,"120.342826,36.064733",山东省青岛市市南区福山支路24号,36
玫瑰小镇,"120.462828,36.586718",山东省青岛即墨市西姜戈庄村204国道旁,51
太清宫游览区,"120.687436,36.144968",山东省青岛市崂山区东南蟠桃峰下,97
琴海潜水俱乐部,"120.347217,36.065056",山东省青岛市南区文登路1-6号(文登路小学斜对面),76
巨峰游览区,"120.637237,36.183532",山东省青岛市崂山区崂山风景区内,12
青岛万达水乐园,"120.10689,35.911506",青岛市黄岛区滨海大道2777号万达茂内,222
流清湾,"120.618054,36.129025",山东省青岛市崂山区梅岭路30号崂山景区,35
青岛电视塔,"120.362133,36.075282",山东省青岛市南区太平山路1号,44
小青岛,"120.33054,36.058927",山东省青岛市胶州市琴屿路26号,98
青岛贝壳博物馆,"120.208333,35.952788",山东省青岛市西海岸新区漓江西路680号,10
青岛海滨,"120.350912,36.072829",山东省青岛市市南区京山路11号,10
青岛天主教堂,"120.320568,36.068055",山东省青岛市浙江路15号,98
基督教堂,"120.334553,36.071565",山东省青岛市崂山区江苏路15号,58
青岛东方影都万达乐园,"120.110502,35.913103",青岛市黄岛区滨海大道2777号万达茂内,236
太平宫,"120.669481,36.239341",山东省青岛市崂山区梅岭路29号,39
太平山索道,"120.363761,36.073619",山东省青岛市市南区太平山景区,12
自然之城KAKAZOO,"120.393558,36.07115",山东省青岛市市南区香港中路26号青岛未来广场5层,46
珠山国家森林公园,"120.072687,35.986793",山东省青岛市开发区西部柳花泊街道办事处境内,50
青岛万达主题乐园,"120.105869,35.911364",山东省青岛市黄岛区滨海大道2777号（万达茂内）,120
青岛啤酒二厂,"120.417373,36.14176",山东省青岛市李沧区台柳路602号,64
青岛万达电影乐园,"120.108972,35.911462",山东省青岛市黄岛区滨海大道2777号万达茂内,46
石老人观光园,"120.516142,36.100537",山东省青岛市崂山区崂山路1号石老人观光园,49
八大峡,"120.31574,36.060334",山东省青岛市市南区,57
即墨老酒博物馆,"120.492616,36.397696",山东省青岛市即墨市鳌蓝路106号,77
青岛爱尔城运动工厂,"120.45985,36.183335",青岛市李沧区金水路与铜川路交界处右转30米,65
青岛JOYPOLIS世嘉都市乐园,"120.384341,36.072894",青岛市南区山东路6号甲万象城5楼,20
青岛金沙蜡像馆,"120.333302,36.066973",山东省青岛市市南区太平路8号天后宫对面,94
青岛海上嘉年华主题乐园,"120.173401,35.936783",青岛市西海岸新区漓江西路1160号嘉年华澳乐购喷泉广场南,40
道路交通博物馆,"120.3294,36.086707",山东省青岛市北区馆陶路49号,37
青岛世博园,"120.50083,36.196819",山东省青岛市李沧区世园大道（长水路）,80
青岛中山公园,"120.361122,36.070525",山东省青岛市市南区文登路28号,99
青岛东方影都银贝大剧院,"120.112802,35.904254",山东省青岛市黄岛区滨海大道星光岛东方影都银贝大剧院（星光岛连岛一号桥东）,8
青岛海泉湾度假区,"120.70329,36.404835",山东青岛即墨市滨海大道188号港中旅海泉湾度假区,36
青岛动物园,"120.3565719009,36.075534653501",青岛市延安一路102号；15 219 302 368 604 路车动物园下车,6
青岛小珠山古月仙境景区,"120.119644,35.962962",山东省青岛市胶南市灵山卫镇杨七岭村村西,41
青岛滨海学院世界动物标本艺术馆,"120.172715,35.987534",山东省青岛市黄岛区嘉陵江西路425号,62
琅琊台风景区,"119.908231,35.651839",山东省青岛胶南市琅琊镇琅琊台,2
熊牧场,"120.517176,36.101748",山东省青岛市崂山区崂山路1号（崂山路与滨海大道交叉路口处石老人观光园旁）,6
铁橛山,"119.724792,36.005206",山东省青岛胶南市六汪镇夏家庄村,92
藏马山丹溪温泉,"119.78308,35.798656",山东省青岛市黄岛区开城路中段·藏马山国际旅游度假区（黄岛510路公交长阡沟社区站）,60
